id,weight
Ned1,21.400000
Ned2,6.800000
Ned3,6.400000
RTL4,13.800000
RTL5,3.200000
RTL7,4.700000
RTL8,1.700000
RTL Crime,0.000000
RTL Lounge,0.000000
RTL Z,0.000000
Yorin,0.000000
SBS6,7.800000
Net5,3.200000
Veronica,3.000000
SBS 9,0.000000
Tien,0.000000
Talpa,0.000000
MTF,0.700000
TMF,0.000000
Kindernet,0.200000
Comedy,1.400000
The Box,0.000000
Nickolodeon,1.800000
Spike,0.000000
TeenNick,0.300000
Jetix,0.000000
FoxKids,0.000000
Disney XD,1.300000
Disney channel,0.600000
Discovery channel,1.600000
National Geographic channel,1.100000
Animal planet,0.400000
TLC,0.500000
ID,0.000000
24Kitchen,0.300000
Fox,0.000000
Fox Sports *,0.000000
Eurosport,0.900000
AT5,0.100000
Regionale zenders,1.700000
Video,0.200000
DVD,1.900000
HD,3.400000
Overige zenders,8.900000
